,Artist_name,Formed_Year,Country
0,La Oreja de Van Gogh,1996,"San Sebastian, Spain"
1,Morat,2015,Bogota
2,Louis Armstrong,,"New Orleans, Louisiana, USA"
3,Hans Zimmer,1977,"Frankfurt, Germany"
4,David Bowie,1969,"London, England"
5,Guns N' Roses,1985,"Los Angeles, California, USA"
6,Melendi,2001,Oviedo
7,Daft Punk,1992,"Paris, France"
8,OneRepublic,2002,"Colorado Springs, Colorado, USA"
9,Arcade Fire,2003,"Quebec, Quebec, Canada"
10,Måneskin,2016,Italian
11,Evanescence,1995,"Arkansas, USA"
12,Camela,1994,"Madrid, Spain"
13,Ennio Morricone,1946,"Rome, Italy"
14,Bruno Mars,2005,"Honolulu, Hawaii, USA"
15,AC/DC,1973,"Sydney, Australia"
16,Nirvana,1988,"Washington, USA"
17,Duki,,"Buenos Aires, Argentina"
18,Maroon 5,2002,"California, USA"
19,U2,1976,"Dublin, Ireland"
20,Estopa,1999,"Barcelona, Spain"
21,Metallica,1981,"Los Angeles, USA"
22,Linkin Park,1995,"California, USA"
23,Macaco,1997,"Barcelona, Spain"
24,Joan Manuel Serrat,1965,"Barcelona, España"
25,Radiohead,1991,"Abingdon, England"
26,Imagine Dragons,2008,"Las Vegas, USA"
27,Coldplay,1996,"London, England"
28,Megadeth,1983,"San Francisco, USA"
29,Drake,2009,"Toronto, Canada"
30,Txarango,2006,
31,Frank Sinatra,1935,"Hoboken, New Jersey, USA"
32,Dio,1982,"Cortland, USA"
33,Izal,2010,"Madrid, Spain"
34,Iron Maiden,1975,"Leyton, England"
35,Franz Ferdinand,2001,"Glasgow, Scotland"
36,Robbie Williams,1990,"Stoke-on-Trent, England"
37,Red Hot Chili Peppers,1983,"Los Angeles, California, USA"
38,Aerosmith,1970,"Massachusetts, USA"
39,Phil Collins,1968,"Hounslow, London, England"
40,Black Sabbath,1969,"Birmingham, England"
41,The Corrs,1990,"Dundalk, Ireland"
42,Texas,1986,"Bearsden, Scotland, UK"
43,The Offspring,1984,"Huntington Beach, California, USA"
44,梅林茂,1951,"Kitakyushu, Fukuoka"
45,System of a Down,1994,"Glendale, California, USA"
46,Billie Eilish,2015,"Los Angeles, USA"
47,Slipknot,1995,"Des Moines, Iowa, USA"
48,Ludovico Einaudi,1980,"Turin, Italy"
49,Sia,1993,"Adelaide, Australia"
50,Queen,1971,"London, England"
51,The Cure,1977,"Crawley, England"
52,Adele,2006,"Tottenham, UK"
53,Paco de Lucía,1965,"Algesiras, Cadix, Espagne"
54,Extremoduro,1987,"Plasencia, Spain"
55,Lorde,2012,"Devonport, North Shore, Auckland"
56,Vetusta Morla,1998,Madrid
57,Bad Religion,1979,"Los Angeles, US"
58,The Killers,2001,"Las Vegas, Nevada, USA"
59,Green Day,1987,"East Bay, California, USA"
60,Bruce Springsteen,1969,"New Jersey, USA"
61,Ed Sheeran,2010,"Halifax, England"
62,Marea,1997,Berriozar
63,The Weeknd,2010,"Toronto, Canada"
